index	label	sentence	POS	w_index	target	word_sense	definition	metaphor_flag	target_domain	tenor
ea7-fragment03 845	1	"While Raymond of Toulouse remained in Outremer, Stephen and Hugh disgraced themselves in escaping from the siege of Antioch, and Robert Curthose, no matter how gallant, at least in his lifetime failed to impress, Robert II's prestige soared to the skies."	NOUN	40	skies.	the atmosphere and outer space as viewed from the earth	"The atmosphere above a given point, especially as visible from the surface of the Earth as the place where the sun, moon, stars, and clouds are seen."	1	skies	extreme height or peak of prestige
a4d-fragment02 103	1	Not for nothing were such power stations described as brick cathedrals; Bankside is the finest manifestation of this tradition.	NOUN	10	cathedrals;	any large and important church	"A big church building, central place for some area."	1	cathedrals	large and imposing power stations
a7s-fragment03 45	1	But it was Gerry Conlon's account of being interrogated after the Guildford bombings that made the scalp crawl.	NOUN	17	crawl.	a very slow movement	"The act of moving slowly on hands and knees, etc."	1	insect	a feeling of intense discomfort or horror
g0l-fragment01 318	1	"Here's us, heading for trouble and God knows what else, and in the middle of you talking about Nordhausen, I start thinking of Peter."	NOUN	13	middle	equally distant from the extremes	"A centre, midpoint."	1	journey	the ongoing conversation or situation
b1g-fragment02 1513	1	"As noted above, the work of Fedra( 1989) is a major step in this direction, and links need to be forged between initiatives in the UK and the rest of Europe."	NOUN	11	step	the act of changing location by raising the foot and setting it down	An advance or movement made from one foot to the other; a pace.	1	movement	an advance or significant development in research or work
a8u-fragment14 334	1	"The sale of most of the lossmaking tyre distribution business to Sumitomo, now also a minority shareholder in the only British-controlled tyremaker's plant, gives the board confidence in some improvement this year, despite a poor immediate outlook for the motor producers."	NOUN	36	outlook	belief about (or mental picture of) the future	A place from which something can be viewed.	1	view	belief about (or mental picture of) the future
a1n-fragment09 216	1	"They had weathered Bridgend's early fury, conceding a try before coming back with some confidence to score three of their own."	NOUN	5	"fury,"	a feeling of intense anger	Extreme anger.	1	storm	Bridgend's aggressive and intense early performance
a9j-fragment01 38	1	The Declaration of Independence issued by the Palestine National Council( PNC) on November 15 last year constitutes a major landmark along this road.	NOUN	22	road.	an open way (generally public) for travel or transportation	"A way used for travelling between places, originally one wide enough to allow foot passengers and horses to travel, now  usually one surfaced with asphalt or concrete and designed to accommodate many vehicles travelling in both directions. In the UK both senses are heard: a country road is the same as a country lane."	1	journey	the process or path toward achieving independence or political goals
a1n-fragment09 212	1	"His plans in ruins, he is now reduced, Micawber-like, to hoping something will turn up before his players face the All Blacks in five short weeks."	NOUN	3	"ruins,"	reduce to ruins	"The remains of a destroyed or dilapidated construction, such as a house or castle."	1	ruins	the complete failure or collapse of his plans
kbh-fragment03 280	1	"will sit there cringing, said I can't believe they put this rubbish on terrible."	NOUN	3	"cringing,"	"draw back, as with fear or pain"	Act of one who cringes.	1	recoil	feeling intense embarrassment or discomfort
a1n-fragment18 353	1	"Why, though, could these supposed championship contenders not have tried to emulate the fine passing that had sprinkled the previous weekend's Merseyside joust?"	NOUN	22	joust?	joust?	A tilting match: a mock combat between two mounted knights or men-at-arms using lances in the lists or enclosed field.	1	joust	a competitive sports match (specifically a football game between Merseyside teams)
a1k-fragment02 28	1	PUB ROCK/ Pint-sized rock n rollers: Jim White selects the best of the London pub venues and gigs in the weeks ahead	NOUN	5	rollers:	a small wheel without spokes (as on a roller skate)	Anything that rolls.	1	wheels	rock n roll performers
fet-fragment01 219	1	"Like Vincent, although he was unaware that Vincent had remarked on it, he had"" Northern brains"" and responded biologically and spiritually to tones of black, donkey-brown, varied greys, touches of white in dark."	NOUN	22	tones	a notation representing the pitch and duration of a musical sound	A specific pitch.	1	colors	specific shades or hues in a visual context
a1h-fragment05 74	1	These influences laid the foundations for the blend of the naive and the sophisticated which is the hallmark of Thomson's maturity.	NOUN	4	foundations	the basis on which something is grounded	"The act of founding, fixing, establishing, or beginning to erect."	1	construction	the initial influences that established the blend of naive and sophisticated in Thomson's work
al0-fragment06 191	1	"It is devoted instead to the worship of the charitable Rytasha, who is not content simply to hand over the cash but insists, in an unfortunate hangover from her Hare Krishna days, on posturing as a spiritual master."	NOUN	26	hangover	disagreeable aftereffects from the use of drugs (especially alcohol)	"Negative effects, such as headache or nausea, caused by previous drunkenness due to  consumption of alcohol."	1	hangover	lingering negative influence from past behavior
acj-fragment01 19	1	It was argued in Chapter 2 that the criminal law ought to spread its net wider where the potential harm is greater.	NOUN	14	net	a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange	"A mesh of string, cord or rope."	1	net	the scope or reach of the criminal law
a8r-fragment02 40	1	"And sometimes non-standard discount is given, a pig to deal with on the old system, but if you could add one extra input box on that screen there"	NOUN	7	pig	domestic swine	"Any of several intelligent mammalian species of the genus Sus, having cloven hooves, bristles and a nose adapted for digging; especially the domesticated animal Sus domesticus."	1	pig	a difficult or unpleasant task to handle
a1p-fragment03 59	1	"JOHN SMITH, the shadow Chancellor, yesterday set the overriding tone for this week's Labour Party conference with a warning that he would impose tough spending controls if Labour won the next election."	NOUN	3	shadow	shade within clear boundaries	A dark image projected onto a surface where light  is blocked by the shade of an object.	1	shade	unofficial or secondary role in opposition
al5-fragment03 39	1	"Mrs Bottomley's first big test as Health Secretary will come this summer with the annual public spending round, which will be conducted against a background of concern over high Government borrowing and pressure from the Tory Right for public spending cuts."	NOUN	40	cuts.	the act of cutting something into parts	The act of cutting.	1	knife	reductions in public spending
fet-fragment01 74	1	"But she looked briefly down, dazzled by the flowing skin of worked and delicate colour; the blue and rose tourbillons of the mistral on the sea, the prismatically sliced frosty nimbus round the mysterious squat stacks."	NOUN	9	skin	a natural protective body covering and site of the sense of touch	"The outer protective layer of the body of any animal, including of a human."	1	covering	the surface of the sea with its shifting colors and patterns
a1h-fragment05 74	1	These influences laid the foundations for the blend of the naive and the sophisticated which is the hallmark of Thomson's maturity.	NOUN	17	hallmark	a distinctive characteristic or attribute	A distinguishing characteristic.	1	stamp	a distinguishing characteristic
b1g-fragment02 1513	1	"As noted above, the work of Fedra( 1989) is a major step in this direction, and links need to be forged between initiatives in the UK and the rest of Europe."	NOUN	14	"direction,"	the spatial relation between something and the course along which it points or moves	"A theoretical line  followed from a point of origin or towards a destination. May be relative , geographical , rotational , or with respect to an object or location ."	1	path	theoretical line of progress or development in research
fef-fragment03 712	1	"In contrast to our previous example we shall now investigate a cylindrical beam consisting of two kinds of charge carriers: negative electrons and some positive particles, which I do not wish to be more precise about at the moment."	NOUN	12	beam	a column of light (as from a beacon)	"Any large piece of timber or iron long in proportion to its thickness, and prepared for use."	1	column	a cylindrical collection of charge carriers
as6-fragment01 37	1	"But, without other changes, the result is likely to be a society of barricaded self-defence, and a steady erosion of civil liberties."	NOUN	18	erosion	(geology) the mechanical process of wearing or grinding something down (as by particles washing over it)	"The result of having been worn away or eroded, as by a glacier on rock or the sea on a cliff face."	1	erosion	gradual decline or weakening of civil liberties
a1f-fragment08 160	1	Sir: Labour does not need a commitment to proportional representation in order to scoop most of the centre ground at the next general election.	NOUN	17	centre	an area that is approximately central within some larger region	Alternative spelling of center.	1	space	the moderate or mainstream political position
acj-fragment01 70	1	"Moreover, the borderlines between the various degrees would raise questions of law, which would provide much opportunity for legal argument and for appeals."	NOUN	2	borderlines	a line that indicates a boundary	A boundary or accepted division; a border.	1	boundary	accepted division between degrees
ea7-fragment03 852	1	"But in the twelfth century, the house of Alsace could afford the high costs of their expeditions Thierry went to Jerusalem four times, Philip twice and the counts' repeated absences in fact promoted administrative reform; the baillis and the Grote Bref were as much the products of crusading as the English and Norman judicial system and exchequers were the product of the king-duke's divided attentions."	NOUN	45	products	commodities offered for sale	A commodity offered for sale.	1	commodities	results or outcomes of historical processes
as6-fragment02 396	1	"But responses in 1985 were different, at least in terms of degree, and probably in relation to the extent to which the riots were seen as a race phenomenon by a wider body of opinion."	NOUN	32	body	"the entire structure of an organism (an animal, plant, or human being)"	Physical frame.	1	organism	a collective or group of people holding a shared opinion
kbp-fragment09 4040	1	Er at this stage I don't think so to be honest with you because	NOUN	3	stage	any distinct time period in a sequence of events	A phase.	1	theater	a phase in a sequence of events
a1k-fragment02 57	1	"FRIDAY Dr& The Medics Silly hippies in Roy Wood cast-off costumes don't sound like the most appetising evening out, and their brief foray into the charts was a considerable embarrassment, but the good Dr's tongue is in the right place( in his cheek) and a jolly time is guaranteed."	NOUN	22	foray	briefly enter enemy territory	"A sudden or irregular incursion in border warfare; hence, any irregular incursion for war or spoils; a raid."	1	raid	brief and unsuccessful attempt to achieve success in the music charts
ahc-fragment60 1251	1	"There were five miles of return tramping to face, but they, too, could wait awhile."	NOUN	8	"face,"	the front of the human head from the forehead to the chin and ear to ear	"The front part of the head of a human or other animal, featuring the eyes, nose and mouth, and the surrounding area."	1	obstacle	the challenge or difficulty of the return journey
a2d-fragment05 39	1	"The legend could not be taken seriously any longer in what had been, admittedly, a threadbare form."	NOUN	16	form.	an arrangement of the elements in a composition or discourse	To do with shape.	1	fabric	the weakened or insubstantial state of the legend's credibility or structure
kbw-fragment42 14845	1	"I spoke to that was Monday night, yeah, she's been head of department, did I tell you that?"	NOUN	10	head	a person who is in charge	"The part of the body of an animal or human which contains the brain, mouth, and main sense organs."	1	body	person in charge of a department
amm-fragment02 1625	1	"But the best answers are probably obtained where the functional design of the fossil points to the same life habits as a living analogue, and where both are consistent with the geological circumstances in which the fossil remains occur."	NOUN	10	design	create designs	"A specification of an object or process, referring to requirements to be satisfied and thus conditions to be met for them to solve a problem."	1	blueprint	the functional characteristics or adaptive features of the fossil
a1h-fragment05 95	1	As both composer and critic he touched both sides of the coin: A climate of receptivity is what the artist most desires.	NOUN	11	coin:	a flat metal piece (usually a disc) used as money	"A piece of currency, usually metallic and in the shape of a disc, but sometimes polygonal, or with a hole in the middle."	1	coin	dual aspects or perspectives of a situation
a1n-fragment09 221	1	The backs were mainly pedestrian but the fundamental problem lay elsewhere.	NOUN	4	pedestrian	a person who travels by foot	"A walker; one who walks or goes on foot, especially as opposed to one who uses a vehicle."	1	walker	unremarkable or lacking in excitement
ew1-fragment01 103	1	In many quarters it is asserted that the Unionist Press are treated with greater courtesy by the Radicals than by their own side.'	NOUN	2	quarters	a district of a city having some distinguishing character	A fourth part of something.	1	district	groups or segments of people (with differing opinions)
fet-fragment01 191	1	"This sombre giant like a defeated proud man contrasts, when considered in the nature of a living creature, with the pale smile of a last rose on the fading bush in front of him"	NOUN	21	smile	express with a smile	"A facial expression comprised by flexing the muscles of both ends of one's mouth, often showing the front teeth, without vocalisation, and in humans is a common involuntary or voluntary expression of happiness, pleasure, amusement, goodwill, or anxiety."	1	expression	"the delicate, fading appearance of the last rose on the bush"
fpb-fragment01 1191	1	"The opposite of a good businessman, Miranda said, still on a high."	NOUN	11	high.	(literal meaning) being at or having a relatively great or specific elevation or upward extension (sometimes used in combinations like `knee-high')	"A high point or position, literally .or figuratively ."	1	elevation	a state of excitement or euphoria
alp-fragment01 29	1	"As Davies( 1981) has pointed out, speech is the basic tool of the social worker."	NOUN	10	tool	an implement used in the practice of a vocation	A mechanical device intended to make a task easier.	1	implement	a means or method used to perform the social worker's tasks effectively
clp-fragment01 853	1	Normally routines are single chains of instructions although it is possible to have some conditional branching.	NOUN	4	chains	a series of (usually metal) rings or links fitted into one another to make a flexible ligament	A series of interconnected rings or links usually made of metal.	1	chains	a sequence of connected or dependent instructions
kbd-fragment07 2272	1	Feels like a hundred and fifty and get out of it.	NOUN	0	Feels	"perceive by a physical sensation, e.g., coming from the skin or muscles"	A perception experienced mainly or solely through the sense of touch.	1	weight	a perception of burden or difficulty
a3c-fragment05 186	1	Drink: Desire in search of a name: Do the French have the mot juste to describe the desire for a reviving drink?	NOUN	3	search	the activity of looking thoroughly in order to find something or someone	An attempt to find something.	1	quest	the attempt to find an expression for desire
as6-fragment01 12	1	"The 1964 Labour Government was elected on a tide of impatience at the slackening pace of social reform, but also of optimism that little more than economic growth, fuelled by technological change, was needed to remove the main causes of urban deprivation( MacGregor, 1981)."	NOUN	8	tide	the periodic rise and fall of the sea level under the gravitational pull of the moon	"The periodic change of the sea level, particularly when caused by the gravitational influence of the sun and the moon."	1	tide	a powerful and widespread surge of public sentiment or movement
kcv-fragment42 4664	1	Perhaps when they come back they've got six months you know they've got a month's work on their hands.	NOUN	18	hands.	the (prehensile) extremity of the superior limb	"The part of the forelimb below the forearm or wrist in a human, and the corresponding part in many other animals."	1	possession	workload or tasks to manage
a8u-fragment14 333	1	Shares in Avon Rubber have fallen sharply this year as a result of the weak demand for winter tyres and rights issue call to finance the move into US motor components.	NOUN	26	move	dispose of by selling	The act of moving; a movement.	1	movement	strategic expansion into a new market sector
a3p-fragment09 180	1	It changed hands recently and is now run by Stephen and Janet Errington.	NOUN	2	hands	the (prehensile) extremity of the superior limb	"The part of the forelimb below the forearm or wrist in a human, and the corresponding part in many other animals."	1	possession	ownership or control of something
al5-fragment03 43	1	"It will always be the case that the holder of my office will need to fight the corner of the health service and there will always, inevitably, be more than we can do."	NOUN	17	corner	the intersection of two streets	"The point where two converging lines meet; an angle, either external or internal."	1	angle	the interests or needs of the health service
ccw-fragment03 1675	1	"I asked you a question, dear heart."	NOUN	6	heart.	the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body	"A muscular organ that pumps blood through the body, traditionally thought to be the seat of emotion."	1	heart	beloved person or object of affection
a1j-fragment34 553	1	Mr Kinnock intends to reinforce his conviction that Labour is in a position to win in his keynote speech tomorrow.	NOUN	12	position	a condition or position in which you find yourself	A place or location.	1	location	a favorable or advantageous situation for winning
ew1-fragment01 139	1	"They represent a time when either their objects were not the same as those of the official organization, or the CCO was not enterprising enough to suit them."	NOUN	7	objects	be averse to or express disapproval of	A thing that has physical existence.	1	things	goals or purposes of the organization
a1h-fragment05 95	1	As both composer and critic he touched both sides of the coin: A climate of receptivity is what the artist most desires.	NOUN	8	sides	a place within a region identified relative to a center or reference location	A bounding straight edge of a two-dimensional shape.	1	coin	aspects or perspectives of a situation
a9j-fragment01 7	1	"Partial and full strikes, demonstrations, sit-ins, conventions all these have in fact only constituted the outer layer of an inner mechanism of civilian rebellion."	NOUN	16	layer	single thickness of usually some homogeneous substance	A single thickness of some material covering a surface.	1	covering	the superficial or visible aspects of civilian rebellion
fet-fragment01 72	1	"To suggest it, that is the dream.'"	NOUN	6	"dream."""	someone or something wonderful	Imaginary events seen in the mind while sleeping.	1	fantasy	an idealized or aspirational goal
g0l-fragment01 199	1	The Exec Director didn't want his dirty washing wrung out in front of this Russian.	NOUN	7	washing	"cleanse with a cleaning agent, such as soap, and water"	The action of the verb to wash	1	laundry	private or embarrassing personal matters
as6-fragment01 69	1	"The Government's post-1987 initiatives have, to some extent, reflected a diagnosis based on the need for better management though on the principle that central authorities can provide a firmer grip than local ones but combined with an anti-collectivist belief in the restorative powers of capitalism."	NOUN	42	powers	possession of controlling influence	Ability to do or undergo something.	1	medicine	ability to restore or improve economic conditions
bpa-fragment14 2126	1	"He'd never been one to exercise an over-imagination, yet the conditions were like the feeling of a tomb of an interment."	NOUN	14	feeling	"perceive by a physical sensation, e.g., coming from the skin or muscles"	"Sensation, particularly through the skin."	1	tomb	oppressive or suffocating atmosphere
c8t-fragment01 108	1	"Once he lets down his defences half the social workers in Norfolk, amateur and professional, will move in on him."	NOUN	5	defences	a structure used to defend against attack	"The action of defending, of protecting from attack, danger or injury."	1	fortress	emotional or psychological barriers to protect oneself from social intrusion
a3c-fragment05 223	1	"Perhaps a shimmering dry Martini cocktail( minimum dilution, stirred, not shaken; and served straight up) looks even more refreshing, though its effect is that of a silver mallet."	NOUN	27	mallet.	a sports implement with a long handle and a head like a hammer; used in sports (polo or croquet) to hit a ball	"A type of hammer with a larger-than-usual head made of wood, rubber or similar non-iron material, used by woodworkers for driving a tool, such as a chisel. A kind of maul."	1	mallet	"the sudden, striking, or impactful effect of the Martini"
a98-fragment03 68	1	"In 1929, he became one of the ragazzi di Via Panisperna the street where Fermi's kids carried out their own experiments under the master in their own under-financed lab."	NOUN	23	master	directs the work of others	Someone who has control over something or someone.	1	leader	Enrico Fermi as the guiding and authoritative figure overseeing the young researchers' work
acj-fragment01 103	1	"If the point of distinguishing murder from manslaughter is to mark out the most heinous group of killings for the extra stigma of a murder conviction, it can be argued that the grievous bodily harm rule draws the line too low."	NOUN	38	line	a mark that is long relative to its width	"A path through two or more points ; a continuous mark, including as made by a pen; any path, curved or straight."	1	boundary	the threshold for distinguishing between different levels of criminal culpability
a1l-fragment01 14	1	"Curious subject matter for a children's picture book, you might think, and hardly guaranteed to win the approval of the gimlet-eyed children's book world."	NOUN	23	world.	the 3rd planet from the sun; the planet we live on	"The subjective human experience, regarded collectively. Human collective existence; existence in general."	1	planet	the collective community or industry of children's book professionals
cb5-fragment02 3383	1	"He was a skilful lover: tender and gentle in the beginning, then powerful, persistent, rough almost until, his passion rising in harmony with hers, the climax came like the bursting of a thousand stars, like the beginning and ending of the world."	NOUN	33	"stars,"	an actor who plays a principal role	"Any small luminous dot appearing in the cloudless portion of the night sky, especially with a fixed location relative to other such dots."	1	stars	the intense and overwhelming sensation of climax
g0l-fragment01 86	1	The British were involved with them through us and it was their advanced work on breaking cyphers that enabled the ring to establish such a great record.	NOUN	20	ring	jewelry consisting of a circlet of precious metal (often set with jewels) worn on the finger	A solid object in the shape of a circle.	1	circle	"a group or network of people working together, especially in espionage or covert operations"
ac2-fragment06 1420	1	He didn't let the side down.	NOUN	4	side	either the left or right half of a body	A bounding straight edge of a two-dimensional shape.	1	team	group or collective one is part of
bpa-fragment14 2076	1	"One in ambush, with the rest of us acting like beaters."	NOUN	10	beaters.	an implement for beating	Someone or something that beats.	1	hunters	people who drive game toward hunters by making noise or movement
fpb-fragment01 1174	1	"Miranda felt that the aircraft was an extension of her arms and her fingertips, outspread in flight."	NOUN	7	extension	act of expanding in scope; making more widely available	"The act of extending; a stretching out; enlargement in length, breadth, or time; an increase"	1	limb	the aircraft as a natural or integrated part of Miranda's body
as6-fragment01 115	1	"Nowhere was the impact of this clumsy sleight of hand more evident than in the inner cities, where voluntary organizations had been most active, and where the Government was most anxious for them to mop up unemployment."	NOUN	3	impact	the striking of one body against another	The striking of one body against another; collision.	1	collision	the noticeable effect or consequence of the government's actions
fef-fragment03 639	1	This equation can be further simplified to formula by choosing( in the physicist's jargon this is called choosing the gauge) formula.	NOUN	19	gauge)	the distance between the rails of a railway or between the wheels of a train	"A measure; a standard of measure; an instrument to determine dimensions, distance, or capacity; a standard"	1	railway	a standard of measure or instrument to determine dimensions
cb5-fragment02 3229	1	Relief surged through her like a physical infusion of new blood.	NOUN	7	infusion	a solution obtained by steeping or soaking a substance (usually in water)	A product consisting of a liquid which has had other ingredients steeped in it to extract useful qualities.	1	liquid	sudden and revitalizing emotional relief
clp-fragment01 785	1	The most serious consequence of the accountancy view of man-power is that high level policy decision-making does not give this factor sufficient weight.	NOUN	7	view	the act of looking or seeing or observing	Visual perception.	1	perception	the perspective or conceptual framework of accounting applied to manpower
ccw-fragment03 1570	1	"I carried her luggage to the yard, noting that even Ellen's strident feminism evaporated in the face of two heavy bags and tropical heat."	NOUN	16	face	"be oriented in a certain direction, often with respect to another reference point; be opposite to"	"The front part of the head of a human or other animal, featuring the eyes, nose and mouth, and the surrounding area."	1	face	the immediate presence or confronting reality of a situation
ew1-fragment01 44	1	As an extempore speaker he was able to tailor his words to his audience's reactions and so convey the impression of personal conversation even when addressing thousands.	NOUN	19	impression	an outward appearance	The indentation or depression made by the pressure of one object on or into another.	1	indentation	the perceived effect or feeling created by his speech
ab9-fragment03 958	1	"Peter Yeo, who had personally persuaded Barton of the presentational disadvantage of using words like darkies, niggers or wogs, decided that immigrants even though used in the manner of one invoking a curse, was as good as he was going to get with this particular client."	NOUN	32	"curse,"	wish harm upon; invoke evil upon	A supernatural detriment or hindrance; a bane.	1	bane	a term used in a derogatory or harmful manner
a7s-fragment03 53	1	"There were daunting moments in last night's First Tuesday( Yorkshire), but few of them matched that hint of a jackboot under the blue serge."	NOUN	19	jackboot	jackboot	"A glossy leather calf-covering military boot, commonly associated with German soldiers of the WWII era"	1	oppression	authoritarianism or militaristic aggression
a8r-fragment02 60	1	"It was only when using a test version of the system( available just before the planned implementation date) that difficulties would come to light, and a host of change requests be issued."	NOUN	23	"light,"	characterized by or emitting light	"Visible electromagnetic radiation. The human eye can typically detect radiation  in the wavelength range of about 400 to 750 nanometers. Nearby shorter and longer wavelength ranges, although not visible, are commonly called ultraviolet and infrared light."	1	illumination	becoming apparent or known
fet-fragment01 148	1	"Frederica informed him from the catalogue that the vegetation was supposed to be a jocular portrait by Gauguin of Madeleine, the pears her breasts, the dense flowers her hair."	NOUN	28	hair.	a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss	A pigmented filament of keratin which grows from a follicle on the skin of humans and other mammals.	1	flowers	Madeleine's hair (represented as dense flowers in the portrait)
ea7-fragment03 843	1	"Yet for them crusading necessitated no large leap of the imagination, no millenarian vision; it was simply a challenging and a deserving extension of their everyday activities."	NOUN	13	vision;	the perceptual experience of seeing	The sense or ability of sight.	1	sight	millenarian belief or prophetic insight
a3k-fragment11 139	1	"In fact, country auctions are often the nearest many villages get to live theatre."	NOUN	13	theatre.	a building where theatrical performances or motion-picture shows can be presented	Alternative spelling of theater	1	theatre	"a lively, engaging, or dramatic social event"
kbd-fragment07 2697	1	He's gon na out with some stick!	NOUN	6	stick!	be or become fixed	"An elongated piece of wood or similar material, typically put to some use, for example as a wand or baton."	1	weapon	a person or thing perceived as threatening or aggressive
a98-fragment03 57	1	"Berg was also an agent of the Office of Strategic Services, which was later to give birth to the CIA."	NOUN	16	birth	the event of being born	The process of childbearing; the beginning of life.	1	birth	the creation or establishment of the CIA
a3e-fragment03 52	1	"In an old garden, there may be a fruit tree, or a good bulwark of evergreen laurel or box that, tidied up, could add a dash of venerability to the new garden that will emerge around it."	NOUN	27	venerability	the quality of deserving veneration	"The qualities of being venerable; great age, respectability, infirmity, etc."	1	spice	"the qualities of being venerable (great age, respectability, etc.) that enhance the garden's character"
al2-fragment23 256	1	There is going to be a great deal of pain in the market place now.	NOUN	9	pain	a somatic sensation of acute discomfort	"An ache or bodily suffering, or an instance of this; an unpleasant sensation, resulting from a derangement of functions, disease, or injury by violence; hurt."	1	pain	financial loss or economic hardship
a7s-fragment03 76	1	IT wasn't the only programme last night to shine light into dirty corners.	NOUN	9	light	characterized by or emitting light	"Visible electromagnetic radiation. The human eye can typically detect radiation  in the wavelength range of about 400 to 750 nanometers. Nearby shorter and longer wavelength ranges, although not visible, are commonly called ultraviolet and infrared light."	1	illumination	exposing hidden truths or revealing information
a1n-fragment09 205	1	"The New Zealanders, appropriately garbed in funereal black, arrive next week to scatter the ashes."	NOUN	14	ashes.	United States tennis player who was the first Black to win United States and English singles championships (1943-1993)	The solid remains of a fire.	1	remains	the end or defeat of something (likely referring to the symbolic end of an opponent's hopes or a team's dominance)
a8u-fragment14 336	1	"Turnover was held at ÃÂ´Ã¯Â¿?28.6million, an rise of about ÃÂ´Ã¯Â¿?million, by the earlier contribution from tyre distribution and the US replacement."	NOUN	6	rise	increase in value or to a higher point	The process of or an action or instance of moving upwards or becoming greater.	1	elevation	increase in financial value or performance
ajf-fragment07 209	1	"Under pressure from Satra, Kirov told singers to choose between the companies."	NOUN	1	pressure	the act of pressing; the exertion of pressure	A pressing; a force applied to a surface.	1	force	coercive influence or demands from Satra
