label	sentence	w_index
0	"We have made a bid of nearly ÃÂ´Ã¯Â¿?00m for a company with a book value of ÃÂ´Ã¯Â¿?00m we've acknowledged there is some extra worth there, but I can not see the sort of value they are talking about in property."	14
0	"DOZENS more East German refugees arrived outside the West German embassy yesterday seeking asylum and passage to the West, including some who missed by only a few minutes a train that took more than 800 of their compatriots to West Germany."	37
0	"Mrs Bottomley is convinced the Tory victory provides the opportunity to entrench the reforms and to give doctors, nurses and managers the confidence to make them work."	13
0	The range of data sets involved and the demands that are made on GIS technology in applications of this kind are often more limited than those of previous applications fields.	4
0	"Michael Freeman, the solicitor who advised the members on court action, said yesterday: This will cause the most dreadful hardship."	19
0	"Of course because there are no living trilobites we can not find direct confirmation of this hypothesis, but we can look for other arthropods that have the same modifications of the eyes, for example, in the present day oceans."	31
0	"You and the bloody telly, he sat there with the ashtray in his hand and all bloody ash is falling out the bottom!"	13
0	In that kind of free market he thrived and survived and so will the best of his work.	2
0	"Lawton had already shifted some chairs, in readiness to form a barricade."	7
0	"Allan Ahlberg says: In the past, a lot of children's books seemed to be the work of talented illustrators whose pictures looked brilliant framed in a gallery, but when you tried to read the book, there was nothing there, because the words started as a coat-hanger to hang pictures on."	41
0	Sorge had asked him on the way out of Washington.	0
0	"Well I can't well I mean there's an awful lot, I mean would, no, no matter which political party it is, they all make promises, but they don't carry them all out."	18
0	"The pros and cons of this theory are the subject of much contentious debate by experts, but it would probably be correct to say that the greater number of specialists believe that at least the more bipedal of the dinosaurs, including small and large carnivores, were warm-blooded, active animals."	27
0	The small light beneath the receiver rests showed that the line was working.	6
0	Eating eating all day long overlap	3
0	Many achievements can be claimed by the CORINE project team.	9
0	The olives had been painted from the asylum at St RÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½my in 1889.	7
0	They sat at the table in the dining area to eat an absurdly early high tea.	4
0	"Making sure to appear casual, he carefully watched the men in dinner jackets and the women in full-length dÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½colletÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿?dresses move slowly over the red carpet towards the restaurant at the rear, or climb the staircase to the gaming rooms."	39
0	"He sees them as not only strengthening small communities, but also as actually beginning to reverse the population flows from the countryside to the towns."	8
0	As an extempore speaker he was able to tailor his words to his audience's reactions and so convey the impression of personal conversation even when addressing thousands.	22
0	It was usual to extract some form of guarantee in exchange for party support but the secrecy prevented such undertakings from being enforced.	12
0	"But responses in 1985 were different, at least in terms of degree, and probably in relation to the extent to which the riots were seen as a race phenomenon by a wider body of opinion."	34
0	This is clearly an important issue in radiation monitoring as the discussion of RIMNET above implies.	8
0	"In Mr Dobbs's words, a telecottage is a room in a village filled with computer communications that can be used by local people to learn and work."	11
0	Where everything's got milk	3
0	"But, like all the best soapbox orators, Major had prepared his repartee in advance."	5
0	"He stood, door in hand, checked by something in the way his visitors, a man and a woman, were standing."	2
0	"They claim to see each other less than couples who go out to work, meeting for the occasional cup of coffee in the kitchen."	18
0	"beginning careers, well it is in a catalogue, the book is in a catalogue, yeah, so there's a front cover of the book sitting in the catalogue smiling at her, saying please buy this book of Christopher."	26
0	How can we find a solution for A?	5
0	"Perry( 1981) describes a fog potential index that is a function of local topography, environmental features affecting fog formation and distance from standing water bodies."	6
0	"He reckons there are no shortages of possible uses farmers can use it to do their accounts, women with child-care responsibilities can work in their own time on the word processors, publicity material for local craftsmen can be produced and so on."	26
0	This article challenges the conceptual and practical appropriateness of applying the notion of punishment to the probation context.	7
0	"It must be shown that the defendant intended( which, again, includes both purpose and awareness of practical certainty) to cause really serious injury to someone."	24
0	"They are far too civilised for that sort of thing in Bangladesh, but I kept thinking wistfully of T. S. Eliot's lines in Sweeney Agonistes about a nice little white little missionary stew."	32
0	Relevant data are therefore difficult to identify and scenario building is one of the few approaches available.	15
0	The Franklin philosophy was learnt in the US leveraged buyout business at the side of Sir James Goldsmith.	10
0	"Many American jurisdictions have three degrees of murder first-degree murder, requiring premeditation, and second- and third-degree murder, covering lesser shades of culpability."	11
0	"I sit down to the table, and watch me, real men aren't like that are they? and it locks"	5
0	"Michael Freeman, the solicitor who advised the members on court action, said yesterday: This will cause the most dreadful hardship."	3
0	"Erm I mean, it was always nine hundred, but it's been upped to eleven hundred last year I think."	0
0	"Less happily, but for the same reason, repossessed houses are often auctioned."	6
0	Evacuation plans are required to cover an area within a distance of 2.4 km; these detail the roles to be played by the emergency services.	1
0	"However, many potentially hazardous chemical installations are not covered by such regulations."	4
0	Thus it is a particular form of job aid which provides the operator with information on a system and its performance.	8
0	"The dissemination of information in the event of an incident is dealt with at three levels: the first is the normal system of press notices; the second is the use of teletext and viewdata( Ceefax and Prestel) to get direct to members of the public at their homes or places of work; the third is the use of Telecom Gold electronic mail to get more technical details to various official bodies, such as water authorities( Jackson 1989)."	6
0	By the mid-80s they had all gone the way of the buffalo: extinct save for preservation in the national park of permanent re-runs.	2
0	"The absolute difference between the two figures seems to be due to two different factors: absorption by the oceans and other reductions in carbon stocks in living biota, the latter being strongly affected by human activities since the Industrial Revolution."	6
0	"While criticized by many on the grounds that it had few teeth and represented a compromise between the DoE and all other departments( notably those of Agriculture and of Transport), it was none the less a major achievement."	6
0	Therefore the admission which the Prime Minister wrung from him could hardly be said to have been grudging.	2
0	"If you think that's best, Adam dear."	6
0	"beginning careers, well it is in a catalogue, the book is in a catalogue, yeah, so there's a front cover of the book sitting in the catalogue smiling at her, saying please buy this book of Christopher."	22
0	"Reference was made above to so-called CIMAH sites, major hazardous installations for which on-site and off-site emergency plans must be prepared."	13
0	"Sit, they said, but he wouldn't This week John Major began to appear on a different kind of box."	7
0	"What is clear, however, is that monitoring is rarely a simple exercise, that the time-scales of the sponsors of monitoring and environmental research are rarely long term though most science is inevitably of this nature and that the increasingly multinational nature of such work necessitates a degree of management not always present in local or nationally based schemes."	29
0	"He stopped, abruptly, as he remembered a conversation earlier that week, and lit a cigarette, thinking furiously."	10
0	"In case of a dispute you can complain to the professional body, and members are bonded, which means that deposits and rent are covered in case of fraud or dishonesty."	25
0	"In terms of databases on hazardous wastes, attention has already been drawn to the waste disposal plans prepared by WRAs."	6
0	Using plume models that predict the movement of contaminants she is able to intersect the results with data on current well locations and to assess which water supply areas are worst contaminated.	6
0	"Schooldays and the void they both felt when the boys went off to boarding school, followed by the joy unconfined when they came home at the end of term."	9
0	"If, for instance, we wish to model the dispersal of a plume of toxic gas resulting from a chemical explosion, assess its possible impact on human health and evaluate likely evacuation scenarios of the population at risk we would require, for example, a knowledge of atmospheric dispersion models, epidemiology and population distribution."	30
0	"In a culture where sexual metaphors are frequently used to convey racial and political conflict, the Tehuana represents that aspect of Mexico's indigenous tradition unbowed by centuries of colonial and male rule."	5
0	"By 1983 residential services were designed with care in the community in mind, but most were based in specialist settings."	3
0	In that case both of them will move inwards under the effect of magnetic force.	2
0	"The divergence was sharpened by the application of a theoretical distinction, the fruit of Augustinian theology, amplified as the century went on by canon and Roman law reference; princes pronounced their campaigns just wars( fought against aggressors with the aim of re-establishing peace) or public wars( declared by a competent authority in the public interest), while they condemned the wars of lesser men as infractions of the peace."	19
0	"Warm-blooded animals have the same body temperatures at all times, and can be more continuously active, but they use far more energy and hence need more food than cold-blooded animals of the same size."	29
0	"CHARITY is a divine attribute, but we are enjoined to give forgetfully lest we fall into the absurd error of mistaking ourselves for gods."	4
0	"He's got to go and deal with the children, take them to and from work, then run a business."	8
0	HUNDREDS of thousands of dolphins could be saved from death thanks to pioneering work by British scientists.	13
0	"I think a lot of people died in the making of those weapons, before they ever got launched and blew up half of London."	3
0	"Moreover, commercial monitoring of the environment is now also routine, notably to predict crop yields in the main grain-growing areas and hence facilitate the buying of futures."	2
0	The lack of harmonization of definitions and methods of collection of environmental data have already been outlined above.	9
0	"As for me, I tell you as a friend, I feel impotent when confronted with such nature, for my Northern brains were oppressed by a nightmare in those peaceful spots as I felt one ought to do better things with the foliage."	16
0	"A dipper flew up from the burn as I emerged from the hut, his white breast flashing as he darted downstream."	1
0	"He went down the airless corridor to his Boss's office, said hello to the secretary, and walked into the large oak-panelled room which was as big as the lobby of many a sizeable hotel."	21
0	"But her desire to provide a period of stability for nearly one million people employed by the NHS is coupled with a fierce determination to maintain the momentum of reform, with the overwhelming majority of hospitals becoming self-governing trusts by the mid-1990s."	38
0	"This all presents major problems of data storage, handling( especially for global data sets), display and dissemination."	4
0	"The dissemination of information in the event of an incident is dealt with at three levels: the first is the normal system of press notices; the second is the use of teletext and viewdata( Ceefax and Prestel) to get direct to members of the public at their homes or places of work; the third is the use of Telecom Gold electronic mail to get more technical details to various official bodies, such as water authorities( Jackson 1989)."	74
0	"If I give you a bit of paper and the lot, yeah well you know what to do and go to school and fill them in!"	15
0	I sit a mummy.	3
0	AN IMPASSIONED appeal for Labour to back electoral reform was made by a leading Shadow Cabinet member yesterday after the national executive decided overwhelmingly to oppose a proportional representation motion.	21
0	"Outside Flanders, Robert's sister's marriage to Roger of Sicily was a mark of his new position in the world; like Louis VI's sister's marriage to Bohemond of Antioch, it stretched French kinship connections into the new Norman colonies, ensuring that travellers from the homeland would find a welcome in those distant parts."	4
0	"This could be the girl whom the Yard were looking for, and he had better do everything very quickly indeed, including finding his Chief, who would then want to find his Chief Constable and notify Scotland Yard."	4
0	"His successful bid was for ÃÂ´Ã¯Â¿?90,000 although he had made a higher prior offer which had been turned down."	13
0	"Lonesome Dove, a five-part story of a Texas-to-Montana cattle drive, also shown on CBS last year, was the best-watched TV mini-series of any kind in America for five years."	23
0	"The top, or strategic, level is the most difficult to explore; the external influences are often unpredictable by formal means."	19
0	"Furthermore, the listing of Battersea had ensured the building's survival for conversion to a new use in that case, as an entertainment centre which the Prime Minister herself had praised and inaugurated."	11
0	"The strength of the partnership is highlighted for Allan, who also works with a number of other artists."	9
0	"This non-punitive paradigm will provide a framework for contrasting the efficacy of current practice with future plans inappropriately to transform probation work into a new approach to punishment in the community( p. 18, para. 4.3)."	20
0	"To encourage the maintenance of, or, where appropriate, a reduction to a personally and socially safe level of alcohol unit intake."	19
0	"Since we know that the periodicity of some variables is longer than the monitoring already carried out by human beings, we must make use of surrogate or proxy variables to extend our range of knowledge( such as via tree rings, palynology, oxygen isotope ratios from ice cores and geomorphological evidence of environmental change);"	8
0	"All was linked to the sense of a new departure, a"" new style"", a"" new regime in politics"" and a new team at the helm: as well as a new leader, the party had by the middle of 1912 a new Chief Whip, Party Chairman, party treasurer, principal agent, press adviser, and an almost entirely new team of Whips and organizers."	46
0	"The man, a stocky, greying fifty-year-old in a navy raincoat over a suit, his hair cut short, was attended by a uniformed policewoman, hair smartly set under the cap, her eyes watchful in the wide, flat, placid face, and both of them were standing square and stolid."	22
0	Greenberg( 1983) and a collection of papers in Greenberg( 1987) review some of the literature on environmental epidemiology.	14
0	"The impossibility stemmed from the failure of such followers to recognise the symbolic importance of Kahlo's choice of clothing, a failure also intrinsic to her recent magazine appearances."	20
0	"Elinor sometimes thought of all the love and the hatred, the treachery and the killing that this hall had undoubtedly seen, when strong men fought hand-to-hand to the death, to protect their women and children."	9
0	"In this system, the solution to the transportation problem is shown graphically on the road network, which is displayed on the computer screen."	21
0	"The main thrust of the Government's policy is contained in the January 1988 White Paper on Regional Policy and the Enterprise Economy, in the new Employment Training programme, and especially in the March 1988 Action for Cities programme all resting on wider reforms to local government structure and finance, and to education and housing."	45
0	Agents and their clients may also have the dilemma of deciding whether to accept any offers made prior to the auction.	0
0	"The treaty between Robert II of Flanders and Henry I of England, renewed by their successors, stipulated that each knight supplied to the English king should bring three horses with him this at a time when a horse represented a major investment."	19
0	Washing machine and cooker and fridge So of course you could have in here.	8
0	"Some headway was made in expanding self-sufficiency, whether through utilising more land for agriculture, developing home economies, or encouraging local manufacturers and products."	22
0	"Response includes search and rescue( including the need to cope with secondary threats such as contamination of water supplies after an explosion, or fire following an earthquake)."	7
0	"They were tremendous, and outplayed us in the first half."	9
0	Have you got my keys?	4
0	This chapter is an account of the way they perceived attempts to develop integrated provision for under fives and the barriers in attitudes and systems which were encountered.	17
0	"In fact, a peculiarity about this condition is that it seldom if ever occurs in a woman who's had a baby."	16
0	What was Mueller doing answering questions.	4
0	"Without the presence of a lead compound, an engine's valve seats go unprotected."	2
0	"They interviewed parents, specialist professionals and mainstream day-care workers and they designed a questionnaire which was completed by workers in a large proportion of mainstream council services and voluntary organisations, as well as by some child-minders."	25
0	In this way she sets out a research agenda for applications-related research which serves a similar function to the spatial analysis research agenda set out by Openshaw at the beginning of Part Two.	11
0	"That's not what he meant, Gilda said."	2
0	"Is it, we wonder, possible to contemplate bringing together some of these data sources to form a National Online Health Information System( NOHIS), to parallel that for employment and unemployment( Townsend et al. 1987)?"	29
0	"The time-consuming nature of Janet's part in the process, combined with a bad back which prevents her spending more than a couple of hours at the drawing board every day, means she can not keep up with her husband's prolific output."	13
0	"Yet if the example is modified a little, so that the overtaking is on a country road at night and the risk is known to be slight, it becomes questionable whether the causing of death in these circumstances should be labelled in the same way as intentional killings."	47
0	"The dissemination of information in the event of an incident is dealt with at three levels: the first is the normal system of press notices; the second is the use of teletext and viewdata( Ceefax and Prestel) to get direct to members of the public at their homes or places of work; the third is the use of Telecom Gold electronic mail to get more technical details to various official bodies, such as water authorities( Jackson 1989)."	15
0	At the entrance to the laboratory complex the others drew on their own masks.	6
0	"come home from work she said I've been looking round in Boots and that for you, she said er I've decided, she said I was gon na get you a gift voucher."	3
0	"Abroad, Kaspar( 1981) has discussed a computer-based exercise, with GIS overtones, involving the simulated evacuation of the population living in the vicinity of the Neckarwestheim nuclear power plant in Baden WÃ¯Â¿Â½Ã¯Â¿Â½_rttemberg."	7
0	"As for the others, avoiding them had presented no problems."	9
0	"The reason is, of course, that there are two kinds of electric charges and their effect usually cancels, so the small magnetic field has a chance of getting observed."	15
0	"Then there are all those schoolteachers, dons, television producers, writers on arts pages and members of the agitating classes who want a Labour win in order to impose Political Correctness."	23
0	"Some deflowered rose bushes, on the left a stretch of the park red-ochre the soil scorched by the sun, covered with fallen pine needles."	12
0	"Daniel thought about dead Ann Maguire who, like Anna Van Gogh, the Dutch pastor's wife, had named a younger, hopeful child for a dead one."	24
0	Brown's chapter on geodemographics discusses an application field where primary data collected for operational purposes are typically evaluated in relation to secondary data derived from sources such as the Census of Population.	19
0	The authors were asked to review the current state of the art in their fields with particular reference to the likely requirements of the future policy issues agenda in terms of the demands that they make on geographic information management.	27
0	"For example, difficulties of communications and in particular, how to inculcate the feeling within each individual that he and his performance are important to the organisation."	4
0	"In particular, to provide technical, scientific and economic information requested by the Commission in its tasks of identification, preparation and assessment of the implementation and results of environmental action and legislation;"	30
0	"The course employs a variety of materials and techniques including the use of checklists, magazine and newspaper clippings, quizzes, videos, brainstorm exercises, discussions, drink diaries, and role plays( Menary, 1986)."	19
0	"Last autumn, Dr Klinowska, Mr Goodson and their team put the theories into practice."	1
0	"From the narrow accountancy viewpoint, people are a cost and it is desirable to keep this cost as low as possible."	16
0	"It has also been argued that the small mouths of the giants simply could not have downed enough food to support a warm-blooded metabolism, particularly plant food that needs a lot of processing before it becomes available as energy."	25
0	One building stands out in this dispiriting panorama of post-war mediocrity: a dark powerful mass of brickwork with a tall central tower that stands right across the Thames from Wren's dome.	16
0	A good pilot never takes a risk.	6
0	"The first does attempt to obtain a value, the second remains essentially a cost and not a value."	9
0	"Approved future programmes include the Upper Atmosphere Research Satellite, the NASA Scatterometer and the joint NASA/CNES Ocean Topography Experiment."	2
0	A modus vivendi would also imply success.	6
0	It was usual to extract some form of guarantee in exchange for party support but the secrecy prevented such undertakings from being enforced.	19
0	He glared at his brother.	4
0	"In principle, it seems unjust that a homicide conviction should not be possible in such a case, if all the other elements can be established and only the year and a day rule stands in the way."	28
0	"Conversely, a large-scale and long-period phenomenon such as the movement of tectonic plates can lead to local stress accumulation and to its release by an earthquake in a few seconds and with highly local effects."	9
0	Observations of Freddy led them to conclude that dolphins use sonar while hunting.	10
0	"Beryl meant that Adam had been among the previous owners of Wyvis Hall while her husband had not, but she knew better than to point this out."	15
0	All these things can be achieved if it is acknowledged that all procedures should a validated by users under the normal conditions of use.	21
0	"He certainly held deep convictions as to the absolute wrongness of the Liberal policies that he opposed, but at least a part of his apparent hostility was assumed for the occasion, a hard line that might secure a better compromise in the end."	9
0	The children growing up with all the laughter and tears.	9
0	"Fortunately, technical developments have ensured that the increase in computing power per unit cost has been growing at about an order of magnitude every 6 years over the last three decades."	10
0	"The unavoidable reliance upon existing data sets led to many problems due to non-harmonization even of commonly used variables, e.g. eight different definitions of potential evapo-transpiration were in use in the Member States and maximum temperature at each weather station was defined in at least four different ways;"	28
0	"Cos I I hate wasting, I remember when we were selling ours, the time wasters, the people that had no intention of buying."	14
0	"A particular cause for concern is that the concentrations of the two main CFMs is increasing by about 5 per cent per annum while the equivalent figures for methane, nitrous oxide and carbon dioxide are 1, 0.4 and 0.3 per cent."	39
0	There are many things to think about before even the first tentative daffodil bulb is sunk into the ground.	13
0	Since 1983 numbers at the Beacon continued to fall as it was increasingly seen as a resource for children with severe and multiple disabilities.	23
0	Precisely next door to this is a restaurant called The Great House.	2
0	"Hold my hand nicely sweetheart, there's a good girl we're coming up to a busy road in a minute and it's dangerous Walk nicely darling, there's a good girl walk nicely just stand still a minute sweetheart hold my hand Charlotte please hold my hand there's a good girl."	18
0	"Indeed, no major studies of evacuation due to hazards have been undertaken in recent times and this is a widely recognized deficiency which no research funding body seems willing to rectify."	21
0	"Now the nearest tree is an enormous trunk, struck by lightning and sawed-off."	10
0	"He successfully defended rowing as an Olympic sport and in 1976 introduced women's events, which have now expanded to six classes."	13
0	And a man came back and.	2
0	This fossil bark is typified by its lozenge-shaped leaf scars arranged in spiral rows.	2
0	"If one person chooses to cause serious injury to another, it should be presumed that he or she realizes that there is always a risk of death, and such cases show a sufficiently wanton disregard for life as to warrant the label murder if death results."	7
0	"Sometimes she told herself the postcards, or exercise book scrawls, were messages to Daniel, but one should never, she considered, ignore surface meanings in favour of implications and the damned things were addressed to her, to Frederica."	24
0	"It is more useful( Johnson 1983) to adopt a non-partitional scheme( fig. 10.1) that recognizes, for instance, food poisoning as both a personal and consumer hazard, or lead pollution( e.g. from car exhausts) as both a meteorological event and technological hazard( both public and private)."	28
0	The emphasis on crime and the criminal acts of the rioters in the official responses to the 1985 riots took a general and a specific form.	10
0	Estimates from Scandinavia suggest that 10Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½30 per cent of such deaths are caused by exposure to radon( Richardson 1988: 270Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½81).	10
0	They gave support to the Beacon and Elfreda Rathbone nurseries and most members saw these settings as the best places to treat children.	19
0	These two contrasting events emphasize the central fact that even natural hazards are not defined solely by the characteristics of the event but by the interaction of those events with the human occupation of the threatened area.	7
0	"However, in the spring of 1977 an offer was made, which my son accepted."	3
0	"He had memorized it years ago in the Ecalpemos epoch: The safest way to live is first, inherit money, second, be born without taste for liquor, third, have a legitimate job that keeps you busy, fourth, marry a wife who will cooperate in your sexual peculiarities, fifth, join some big church, sixth, don't live too long."	50
0	I still don't know if my family know where I am or if they will suffer from my decision.	6
0	Shares in Avon Rubber have fallen sharply this year as a result of the weak demand for winter tyres and rights issue call to finance the move into US motor components.	20
0	"But you know how it is, it's family ties and kids growing up and then they grow up and have families of their own, then you get tied to the grandchildren or what have you."	10
0	The tenant is not obliged to ensure that the landlord is aware of the defects in the premises or to give the landlord an opportunity to remedy the defects before commencing legal proceedings.	17
0	"One result was the triumphant expansion of some charitable organizations, which rejoiced both at their new-found importance and at the Government's munificence."	16
0	"The objections would be reduced if awareness of the risk of death was also required: in other words, if the test were the commission of a serious offence of violence plus recklessness as to death."	20
0	But you couldn't fucking move at that.	4
0	But Ruth had no heart either to appreciate or to envy her mistress.	12
0	"Many American jurisdictions have three degrees of murder first-degree murder, requiring premeditation, and second- and third-degree murder, covering lesser shades of culpability."	9
0	"Bulbs, er probably not cos I think I'll have to do while you're at school cos daddy tells me it's gon na rain this afternoon, I'll have to do that this morning, pity that."	24
0	He spoke and evidently felt strongly of the degradation that it would have been to the parry to have elected a leader by secret ballot.	24
0	"What's happening, water please, water, water."	2
0	"Shepherd, more than any other contributor to this section, draws attention to the extent to which current efforts in the geographic information management field are constrained by the highly fragmented nature of both data suppliers and users both in sectoral and spatial terms, the great diversity of data sets in varying formats and the difficulties presented by institutional factors such as copyright provision, data ownership and the control of access to data."	58
0	"The other time, he remembered, it was his father who hadn't been able to eat."	9
0	To each side of the hearth was a high-backed wicker armchair in an intricate closely woven design fitted with patchwork cushions.	20
0	"Manuals which may contain maps, schematic diagrams and other materials warrant separate consideration."	6
0	"Geoffrey Martel had perceived the propaganda potential of public war as early as the mid eleventh century; later it enabled Henry the Liberal of Champagne to claim the military service of all lords within his county, a reapplication of the Carolingian ban."	5
0	The boy looked at her and uncontrollable tears suddenly filled his eyes.	1
0	Remote sensing as a data collection process	4
0	"None of them, of course, anticipated the scale of the problems which were caused by the slump and collapse of much of what remained of inner urban manufacturing industry in the early 1980s."	4
0	"Kahlo does not appear in the work, her Tehuana costume hangs empty in the centre of the composition, suspended between a toilet bowl and a golfing trophy."	17
0	As mentioned earlier there are always the twin problems of how to get the information and how to present it.	14
0	"As far as I know, my son's personal acquaintance with Wyvis Hall was confined to my uncle's lifetime when 1, my wife and son and daughter frequently stayed with him."	6
0	"In 1983 the Home Secretary imposed restrictions on the release of persons serving life for murders of police- and prison-officers, terrorist killings, murder during robbery, and the sadistic or sexual murder of young children, fixing a minimum of twenty years' imprisonment for these offenders."	40
0	He had trouble finding an appropriate language for the painter's obsession with the illuminated material world.	2
0	Barringer et al.( 1987) overlay data on soil type and geology with that of groundwater quality( hardness and corrosivity measures) and build a linear model which shows that the background environmental variables are good predictors of the water quality indices.	29
0	"By comparison, the number of deaths recorded as criminal homicide was 600, which includes all the murders and manslaughters."	16
0	"Nobody spoke for a while, then the Exec Director reopened the discussion."	0
0	"The hotel lies in five acres of fields and garden, and the Slingos, who own it, make the most of their beautiful surroundings by running painting courses for about ÃÂ´Ã¯Â¿?00 a week( including breakfast and dinner), or ÃÂ´Ã¯Â¿?0 for a long weekend."	1
0	"Employment in agriculture, still the main rural industry, fell from over a million in the mid-Sixties to under 100,000 now."	15
0	Stigmaria is the name given to roots of the giant lycopod Lepidodendron( this page).	6
0	The party was indeed handed over to Birmingham.	1
0	"Sometimes she told herself the postcards, or exercise book scrawls, were messages to Daniel, but one should never, she considered, ignore surface meanings in favour of implications and the damned things were addressed to her, to Frederica."	7
0	"Whatever the justifications for introducing this policy, it serves to underline the fact that sentencing in murder cases is enacted without each case being considered individually, after hearing representations from the offender's counsel, and without a sentence announced in court and subject to appeal."	32
0	"Daniel looked at the pink sky, the twisted trunks, the silvery leaves, the rhythmic earth streaked with yellow ochre, with pink, with pale blue, with red-brown."	14
0	Additional algorithms are used to model total building damage costs for each grid cell based on water-depth and speed-depth rating curves.	7
0	"Remoteness is still the keynote of this region, but a Charlton reiving party would be hard put to it these days to work up a good gallop along the upper reaches of the North Tyne River."	12
0	"Soon they all stood side by side, one of the younger policemen coughing involuntarily."	4
0	Daily Express: I am much obliged to you for the precis of Mr Bonar Law's speech last night.	17
0	"We can only consider a small fraction of this work here; little consideration is given to occupational environments, for instance."	12
0	"He stopped, abruptly, as he remembered a conversation earlier that week, and lit a cigarette, thinking furiously."	14
0	"Well yes thank you, because my wife writes to her practically every week"	6
0	The user probably has limited expertise and he may be working under various stress conditions.	5
0	"Oh come on Christopher come and sometimes it in the right panel, that's the right panel there and then it goes in the left hand and then it goes to the right hand and then it goes to the left then right, the left, the right, left, right, left, confusing, but it's that hand to start with"	53
0	"Given the extent to which geographic information management is applications driven, it is important to consider in some depth the characteristics of some potential application fields."	6
0	"One interesting example of a GIS approach to flood damage estimation is the ANUFLOOD package which was developed in the early 1980s following detailed flood damage studies for flood-prone coastal towns in northern New South Wales, Australia( Smith and Greenaway, 1988)."	2
0	"But responses in 1985 were different, at least in terms of degree, and probably in relation to the extent to which the riots were seen as a race phenomenon by a wider body of opinion."	28
